instrument,harmo1,harmo2,harmo3
oboe,7.115,12.664,17.415
trumpet,-10.735,-7.778,-17.663
trumpet,-4.908,-11.001,-21.399
flute,-21.975,-14.343,-23.488
oboe,2.545,12.234,5.274
trumpet,-12.124,-15.172,-18.466
flute,-15.964,-18.048,-21.15
flute,-18.986,-11.991,-25.93
oboe,6.889,11.154,13.208
trumpet,-4.913,-21.647,-25.076
oboe,12.804,12.208,4.454
oboe,14.323,14.202,4.545
oboe,11.747,9.569,7.347
oboe,12.243,9.739,4.764
oboe,14.353,15.571,9.183
flute,-19.762,-10.61,-25.591
oboe,10.79,10.839,10.92
oboe,13.839,17.653,12.254
flute,-18.274,-20.93,-20.374
oboe,11.011,14.038,20.376
oboe,14.682,12.13,6.07
oboe,4.696,16.829,18.265
oboe,7.116,10.859,15.03
oboe,14.127,14.498,6.937
oboe,6.934,10.798,13.915
oboe,5.256,-4.792,15.771
oboe,1.897,9.431,-6.825
oboe,6.481,11.339,15.764
oboe,14.615,17.951,12.081
flute,-15.425,-15.74,-23.474
oboe,7.542,5.578,13.033
oboe,6.866,11.022,10.276
oboe,1.816,8.428,0.694
oboe,13.524,13.24,4.453
trumpet,-6.419,-22.856,-17.504
trumpet,-7.495,-18.056,-16.061
trumpet,-5.012,-24.833,-20.388
oboe,7.109,9.952,14.949
oboe,13.902,12.651,7.738
oboe,3.502,-0.675,15.093
oboe,5.858,10.609,14.765
oboe,13.794,14.044,6.811
trumpet,-9.562,-8.63,-17.416
trumpet,-5.64,-22.647,-20.51
trumpet,-8.548,-18.663,-20.675
oboe,1.196,9.135,-8.966
trumpet,-4.512,-21.395,-18.584
oboe,6.643,14.309,16.898
oboe,5.066,8.341,14.734
oboe,-2.395,8.784,-3.878
trumpet,-7.609,-21.22,-19.753
trumpet,-9.653,-15.519,-20.604
trumpet,-4.788,-17.699,-23.345
trumpet,-3.729,-21.582,-19.668
oboe,6.503,12.306,10.044
oboe,6.237,0.875,14.618
oboe,13.921,16.143,8.43
trumpet,-8.473,-24.821,-15.809
flute,-19.026,-23.034,-18.706
flute,-21.55,-19.408,-22.556
trumpet,-8.773,-4.185,-20.654
flute,-22.825,-13.271,-18.682
oboe,12.383,16.52,12.532
oboe,7.465,2.374,10.46
trumpet,-6.447,-24.334,-23.196
flute,-22.493,-14.994,-19.559
oboe,3.474,11.967,5.327
oboe,6.111,3.343,13.703
trumpet,-3.908,-17.163,-22.077
oboe,8.521,8.562,-6.059
oboe,6.981,12.759,18.322
oboe,8.187,11.391,10.207
trumpet,-3.642,-18.047,-22.044
oboe,7.99,6.615,11.149
oboe,12.746,15.88,11.784
oboe,-4.264,1.909,14.844
oboe,-4.483,10.875,2.082
flute,-20.522,-17.095,-24.276
oboe,12.665,18.027,10.985
trumpet,-12.758,-15.274,-25.849
oboe,7.101,11.347,10.673
oboe,7.87,10.03,11.955
flute,-19.683,-18.792,-22.857
oboe,10.323,8.671,6.812
oboe,13.984,17.863,12.283
oboe,7.776,9.032,-1.356
oboe,7.704,11.016,12.93
oboe,7.382,11.75,11.107
oboe,13.994,11.866,5.271
oboe,8.568,14.282,19.968
trumpet,-9.031,-19.158,-24.814
oboe,10.606,10.138,8.541
trumpet,-6.99,-22.182,-25.447
oboe,5.829,11.946,9.3
oboe,12.817,21.954,9.806
oboe,12.131,11.187,7.732
oboe,8.338,10.823,10.051
oboe,7.176,4.091,11.554
